num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,9.616546,2.34865,1.17432,1.17433
1,9.616546,3.2274,2.45059,0.77681
2,9.616546,3.22652,2.45419,0.772326
3,9.616546,3.22108,2.44446,0.776621
4,9.616546,3.22344,2.44459,0.778856
5,9.616546,3.23213,2.45174,0.780391
6,9.616546,3.22145,2.44345,0.777999
7,9.616546,3.22708,2.44407,0.78301
8,9.616546,3.2404,2.45732,0.783083
9,9.616546,3.23133,2.45195,0.779378
10,9.616546,3.24857,2.4512,0.797372
11,9.616546,3.23259,2.45001,0.78258
12,9.616546,3.22915,2.45011,0.779048
13,9.616546,3.22967,2.45799,0.771671
14,9.616546,3.22991,2.45002,0.779889
15,9.616546,3.22769,2.44954,0.778148
16,9.616546,3.2354,2.45491,0.78049
17,9.616546,3.22689,2.4545,0.772394
18,9.616546,3.23225,2.44837,0.783877
19,9.616546,3.23995,2.45081,0.789134
20,9.616546,3.22479,2.45379,0.771005
21,9.616546,3.21532,2.43857,0.776753
22,9.616546,3.20953,2.43348,0.776054
23,9.616546,3.21222,2.43235,0.779867
24,9.616546,3.23008,2.44909,0.780989
25,9.616546,3.22268,2.44876,0.773921
26,9.616546,3.21175,2.43221,0.779538
27,9.616546,3.22506,2.44628,0.778781
28,9.616546,3.2274,2.4331,0.794299
29,9.616546,3.23605,2.45299,0.78306
