benchmark,exec_policy,prefetch,block_size_1d,block_size_2d,num_blocks_1d,block_size_str,total_iterations,size,num_gpu,num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec,speedup,baseline_time
b1m,default,none,32,8,64,"32,8",30,250000000,1,15,-4.9348,1.7769,1.4363,0.340595,1.8757881011845432,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,16,-4.9348,1.78299,1.44505,0.337939,1.890530682528354,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,17,-4.9348,1.7763,1.43846,0.337843,1.8910678875186089,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,18,-4.9348,1.77792,1.43884,0.339077,1.884185740474728,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,19,-4.9348,1.7725,1.43652,0.335988,1.9015085310277433,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,20,-4.934801,1.77506,1.43701,0.338054,1.8898875573812153,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,21,-4.9348,1.77897,1.43677,0.342197,1.8670065731813823,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,22,-4.9348,1.7734,1.43703,0.336366,1.8993716615916871,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,23,-4.934799,1.79792,1.43836,0.359562,1.7768397336841752,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,24,-4.9348,1.78434,1.44115,0.343187,1.8616207732896333,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,25,-4.9348,1.77801,1.43871,0.3393,1.8829473867460933,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,26,-4.9348,1.77895,1.43763,0.341313,1.871842116540974,0.634413
b1m,default,none,32,8,64,"32,8",30,500000000,1,0,-4.9348,3.56815,2.87914,0.689012,1.8392143864356871,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,1,-4.934801,3.53642,2.86844,0.66798,1.8971238402748969,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,2,-4.9348,3.54365,2.87708,0.666567,1.901145395476862,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,3,-4.9348,3.51441,2.86641,0.647997,1.9556275458479369,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,4,-4.934799,3.5281,2.87632,0.651784,1.9442649448695053,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,5,-4.9348,3.60051,2.93022,0.670282,1.8906084048606788,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,6,-4.9348,3.58507,2.92249,0.662585,1.9125708895112712,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,7,-4.9348,3.53637,2.87642,0.65995,1.920207262409009,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,8,-4.9348,3.53455,2.87357,0.660988,1.9171918141128517,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,9,-4.9348,3.57255,2.86886,0.703686,1.8008611551556029,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,10,-4.934801,3.53583,2.87045,0.665384,1.9045254812661947,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,11,-4.9348,3.53492,2.8691,0.665821,1.9032754791855855,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,12,-4.9348,3.53479,2.87081,0.663986,1.90853539506379,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,13,-4.934801,3.53274,2.86845,0.664293,1.9076533740786454,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,14,-4.9348,3.56694,2.87553,0.691417,1.8328169293303835,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,15,-4.934799,3.54092,2.8773,0.663621,1.9095851138327835,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,16,-4.9348,3.54004,2.87958,0.660461,1.9187215941998477,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,17,-4.9348,3.54785,2.89179,0.656058,1.9315987044237333,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,18,-4.9348,3.55421,2.89629,0.657925,1.9261173884969043,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,19,-4.9348,3.55706,2.89594,0.661119,1.9168119246713913,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,20,-4.9348,3.55878,2.89661,0.662167,1.9137782203384126,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,21,-4.9348,3.55981,2.89766,0.662141,1.9138533678277372,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,22,-4.934799,3.56188,2.89319,0.668692,1.895103848747743,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,23,-4.934801,3.55487,2.87811,0.676756,1.872522419936913,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,24,-4.9348,3.55521,2.88668,0.668535,1.8955488984523259,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,25,-4.9348,3.54743,2.88425,0.663183,1.9108463015891928,1.2625
b1m,default,none,32,8,64,"32,8",30,500000000,1,26,-4.9348,3.55569,2.89109,0.664592,1.9067951206557192,1.2625
b1m,default,none,32,8,64,"32,8",30,800000000,1,0,-4.9348,5.71417,4.66533,1.04884,1.935939762661713,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,1,-4.9348,5.70868,4.6681,1.04057,1.951325774018193,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,2,-4.9348,5.68356,4.64193,1.04163,1.949340035012539,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,3,-4.9348,5.76481,4.71521,1.0496,1.9345379770103954,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,4,-4.9348,5.70073,4.65258,1.04815,1.9372141970806767,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,5,-4.9348,5.69127,4.62477,1.06651,1.9038649995500379,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,6,-4.9348,5.67278,4.62613,1.04665,1.9399905036737313,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,7,-4.934801,5.66056,4.61742,1.04314,1.946518262812385,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,8,-4.9348,5.72873,4.6501,1.07863,1.8824722663657705,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,9,-4.934799,5.67447,4.63054,1.04392,1.94506385610977,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,10,-4.9348,5.67744,4.62743,1.05001,1.9337825931849324,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,11,-4.934799,5.66247,4.62178,1.04069,1.951100770325564,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,12,-4.9348,5.66445,4.61709,1.04736,1.9386753940098065,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,13,-4.934799,5.65234,4.60902,1.04332,1.9461824374785406,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,14,-4.9348,5.64807,4.60495,1.04312,1.9465555838926594,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,15,-4.9348,5.67266,4.62928,1.04339,1.9460518700295297,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,16,-4.934799,5.66556,4.6208,1.04476,1.943500000641402,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,17,-4.934799,5.6499,4.61718,1.03272,1.9661583591584464,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,18,-4.934801,5.6601,4.61883,1.04127,1.9500139835682495,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,19,-4.9348,5.67152,4.62723,1.04428,1.9443933242713745,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,20,-4.934799,5.71854,4.6352,1.08335,1.8742706056861689,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,21,-4.934799,5.71007,4.63664,1.07342,1.8916091191426572,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,22,-4.9348,5.66428,4.61615,1.04813,1.9372511622318902,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,23,-4.9348,5.65345,4.61458,1.03887,1.9545189106145244,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,24,-4.9348,5.65322,4.60052,1.0527,1.928841132962963,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,25,-4.9348,5.64841,4.59146,1.05695,1.9210852553764235,2.02887
b1m,default,none,32,8,64,"32,8",30,800000000,1,26,-4.934799,5.75965,4.66465,1.09501,1.8543128014083077,2.02887
b1m,default,none,32,8,64,"32,8",30,950000000,1,0,-4.9348,6.71463,5.47483,1.23979,1.953225539214346,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,1,-4.9348,6.75164,5.49237,1.25926,1.9230258177521353,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,2,-4.9348,6.74231,5.47774,1.26457,1.9149509250279177,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,3,-4.9348,6.70296,5.45922,1.24374,1.947022280591244,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,4,-4.9348,6.70465,5.45372,1.25093,1.9358313344971771,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,5,-4.9348,6.70581,5.46433,1.24148,1.9505666553327916,2.419
b1m,default,none,32,8,64,"32,8",30,950000000,1,6,-4.9348,6.73177,5.49078,1.241,1.9513211049657968,2.419
