num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,9.616546,0.555051,0.426745,0.128306
1,9.616546,0.973422,0.872026,0.101396
2,9.616546,0.97545,0.870873,0.104577
3,9.616546,0.999663,0.897258,0.102405
4,9.616546,1.00341,0.899956,0.103456
5,9.616546,0.974795,0.87228,0.102515
6,9.616546,1.00167,0.899188,0.102478
7,9.616546,0.976356,0.872189,0.104167
8,9.616546,0.975788,0.8724,0.103388
9,9.616546,1.00004,0.897189,0.102855
10,9.616546,0.976437,0.871952,0.104485
11,9.616546,0.975702,0.871841,0.103861
12,9.616546,1,0.897683,0.102321
13,9.616546,0.97471,0.872116,0.102594
14,9.616546,0.975588,0.872415,0.103173
15,9.616546,1.0019,0.899204,0.102698
16,9.616546,0.976378,0.872065,0.104313
17,9.616546,0.975412,0.872204,0.103208
18,9.616546,0.973942,0.872182,0.10176
19,9.616546,0.977428,0.872375,0.105053
20,9.616546,1.00189,0.899071,0.102815
21,9.616546,0.977305,0.872568,0.104737
22,9.616546,0.976438,0.871999,0.104439
23,9.616546,0.981906,0.872354,0.109552
24,9.616546,0.978349,0.871167,0.107182
25,9.616546,0.978626,0.870928,0.107698
26,9.616546,1.00522,0.898376,0.106848
27,9.616546,0.978346,0.87077,0.107576
28,9.616546,0.98121,0.871397,0.109813
29,9.616546,0.978437,0.871528,0.106909
