num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,nan,0.589795,0.00013,0.589665
1,nan,0.524702,3.8e-05,0.524664
2,245131104.000000,0.536003,3.7e-05,0.535966
3,nan,0.497326,3.4e-05,0.497292
4,nan,0.525059,3.7e-05,0.525022
5,nan,0.485276,5.4e-05,0.485222
6,nan,0.514412,3.7e-05,0.514375
7,nan,0.53245,3.7e-05,0.532413
8,nan,0.52181,3.6e-05,0.521774
9,nan,0.483142,3.5e-05,0.483107
10,28195220.000000,0.470465,9.4e-05,0.470371
11,-250771728.000000,0.5069,3.5e-05,0.506865
12,nan,0.497669,3.8e-05,0.497631
13,nan,0.533154,3.6e-05,0.533118
14,nan,0.545392,3.6e-05,0.545356
15,nan,0.50383,3.6e-05,0.503794
16,nan,0.494417,3.6e-05,0.494381
17,nan,0.52772,3.5e-05,0.527685
18,nan,0.512631,7.1e-05,0.51256
19,nan,0.523459,3.8e-05,0.523421
20,nan,0.492585,3.6e-05,0.492549
21,-240605632.000000,0.459501,3.6e-05,0.459465
22,35612.570312,0.468781,3.7e-05,0.468744
23,nan,0.499308,3.7e-05,0.499271
24,nan,0.512615,3.7e-05,0.512578
25,254857408.000000,0.486105,4.2e-05,0.486063
26,nan,0.517745,3.5e-05,0.51771
27,nan,0.556065,3.6e-05,0.556029
28,nan,0.483939,3.6e-05,0.483903
29,nan,0.477465,3.6e-05,0.477429
