num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,8800.297852,5.59238,0.000119,5.59226
1,7763668.000000,4.042,0.000511,4.04148
2,nan,5.11573,9.1e-05,5.11564
3,nan,4.07367,9.1e-05,4.07358
4,nan,4.33997,9.4e-05,4.33987
5,nan,3.90462,9.5e-05,3.90452
6,nan,4.74741,9.2e-05,4.74732
7,nan,3.90824,9.2e-05,3.90815
8,nan,4.20244,9.6e-05,4.20234
9,-8624324.000000,4.56794,9.5e-05,4.56785
10,nan,4.05707,9.5e-05,4.05698
11,nan,4.15576,8.6e-05,4.15568
12,nan,4.87165,9.3e-05,4.87156
13,nan,3.96644,8.7e-05,3.96636
14,-53027.582031,4.21691,9.2e-05,4.21682
15,nan,4.22928,9.4e-05,4.22918
16,nan,4.31895,9.6e-05,4.31885
17,-264253.531250,4.41208,9.4e-05,4.41198
18,nan,4.5856,9.4e-05,4.5855
19,nan,3.94926,9.4e-05,3.94916
20,nan,4.16747,8.7e-05,4.16738
21,nan,3.74068,8.7e-05,3.74059
22,nan,4.27369,9.4e-05,4.2736
23,nan,4.61809,8.9e-05,4.618
24,719824.625000,4.27075,9.4e-05,4.27065
25,nan,3.96947,0.000107,3.96936
26,nan,4.81999,9.5e-05,4.81989
27,nan,4.18822,8.7e-05,4.18813
28,nan,3.89916,9.1e-05,3.89907
29,nan,4.59589,0.000171,4.59572
