num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,5,1.74871,0.038502,1.71021
1,5,0.74047,0.096404,0.644066
2,5,0.739577,0.095708,0.643869
3,5,0.731723,0.095824,0.635899
4,5,0.741014,0.095895,0.645119
5,5,0.74536,0.095433,0.649927
6,5,0.741175,0.09575,0.645425
7,5,0.731911,0.095734,0.636177
8,5,0.737857,0.09524,0.642617
9,5,0.73961,0.095539,0.644071
10,5,0.741686,0.095625,0.646061
11,5,0.749376,0.095038,0.654338
12,5,0.742123,0.095893,0.64623
13,5,0.747013,0.095782,0.651231
14,5,0.737539,0.095446,0.642093
15,5,0.741328,0.095839,0.645489
16,5,0.741232,0.095465,0.645767
17,5,0.742239,0.095536,0.646703
18,5,0.743712,0.095487,0.648225
19,5,0.743768,0.095636,0.648132
20,5,0.731677,0.095784,0.635893
21,5,0.713513,0.09541,0.618103
22,5,0.741039,0.095937,0.645102
23,5,0.732095,0.095108,0.636987
24,5,0.746208,0.095574,0.650634
25,5,0.742983,0.095978,0.647005
26,5,0.739018,0.095355,0.643663
27,5,0.738774,0.095869,0.642905
28,5,0.744485,0.095493,0.648992
29,5,0.744722,0.095504,0.649218
