num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,9.616546,1.41686,0.892961,0.523903
1,9.616546,2.20509,1.80928,0.395808
2,9.616546,2.20973,1.80919,0.400541
3,9.616546,2.20991,1.80934,0.400567
4,9.616546,2.21189,1.80859,0.403293
5,9.616546,2.21573,1.81671,0.399016
6,9.616546,2.21738,1.81613,0.401257
7,9.616546,2.2168,1.81596,0.400842
8,9.616546,2.21026,1.80926,0.400999
9,9.616546,2.21923,1.81771,0.401513
10,9.616546,2.21284,1.80876,0.40408
11,9.616546,2.21052,1.81147,0.399043
12,9.616546,2.22034,1.81667,0.403666
13,9.616546,2.2163,1.81415,0.402151
14,9.616546,2.21916,1.81793,0.401224
15,9.616546,2.21177,1.80949,0.402276
16,9.616546,2.21053,1.80914,0.401391
17,9.616546,2.21251,1.81063,0.401879
18,9.616546,2.21088,1.81265,0.398232
19,9.616546,2.21335,1.81126,0.402097
20,9.616546,2.21504,1.81799,0.397049
21,9.616546,2.22035,1.81842,0.401926
22,9.616546,2.21851,1.81384,0.40467
23,9.616546,2.21131,1.81028,0.401031
24,9.616546,2.20609,1.80866,0.397433
25,9.616546,2.2153,1.81685,0.398451
26,9.616546,2.21239,1.80945,0.402938
27,9.616546,2.24067,1.83757,0.403098
28,9.616546,2.20785,1.80909,0.398764
29,9.616546,2.20907,1.80832,0.400755
