num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,9.616546,1.90823,1.21115,0.697075
1,9.616546,2.99619,2.44819,0.548001
2,9.616546,2.96617,2.43132,0.534856
3,9.616546,2.96554,2.43222,0.533319
4,9.616546,2.98238,2.44566,0.536718
5,9.616546,2.98272,2.44714,0.535577
6,9.616546,2.98768,2.45485,0.532833
7,9.616546,2.96623,2.4301,0.536125
8,9.616546,2.98124,2.44976,0.531481
9,9.616546,2.96873,2.43845,0.530275
10,9.616546,2.96683,2.43062,0.536209
11,9.616546,2.9828,2.44628,0.536521
12,9.616546,2.98025,2.44786,0.532386
13,9.616546,2.98556,2.44699,0.538569
14,9.616546,2.95985,2.42978,0.530073
15,9.616546,2.96255,2.42958,0.532968
16,9.616546,2.97759,2.44552,0.532074
17,9.616546,2.97572,2.4445,0.531218
18,9.616546,3.00156,2.46979,0.53177
19,9.616546,2.98025,2.44891,0.531335
20,9.616546,2.98582,2.44668,0.53914
21,9.616546,2.96079,2.42981,0.530982
22,9.616546,2.97542,2.44389,0.531525
23,9.616546,2.9578,2.42843,0.529369
24,9.616546,2.99024,2.44671,0.543531
25,9.616546,2.97221,2.43864,0.533566
26,9.616546,2.96089,2.42933,0.531566
27,9.616546,2.97852,2.44659,0.531927
28,9.616546,2.99355,2.4497,0.543848
29,9.616546,2.98565,2.45374,0.531912
