benchmark,size,number_GPU,exec_policy,dependency_policy,new_stream_policy,parent_stream_policy,choose_device_heuristic,prefetcher,force_stream_attach,kernel_timing,realloc,reinit,num_blocks,block_size_1d,block_size_2d,block_size_str,total_iterations,cpu_validation,random_init,num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec,speedup,baseline_time
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-5,0.0,0.132836547,0.132836547,0.114278905,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-4,0.0,0.120968024,0.120968024,0.112870795,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-3,0.0,0.122448802,0.122448802,0.112788407,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-2,0.0,0.122416082,0.122416082,0.112241856,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-1,0.0,0.123653218,0.123653218,0.114846932,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,0,0.0,0.119521923,0.119521923,0.112313074,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,1,0.0,0.118818016,0.118818016,0.112132949,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,2,0.0,0.119044089,0.119044089,0.112105316,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,3,0.0,0.123996526,0.123996526,0.112338174,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,4,0.0,0.12118537,0.12118537,0.113433694,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,5,0.0,0.11999407,0.11999407,0.112727868,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,6,0.0,0.121205788,0.121205788,0.112297353,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,7,0.0,0.121406951,0.121406951,0.113439741,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,8,0.0,0.13636956,0.13636956,0.113318486,,
,6400,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,9,0.0,0.122910012,0.122910012,0.112918043,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-5,0.0,0.293362774,0.293362774,0.276547906,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-4,0.0,0.284896853,0.284896853,0.275572711,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-3,0.0,0.285857351,0.285857351,0.276192644,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-2,0.0,0.286960695,0.286960695,0.276454979,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-1,0.0,0.283781944,0.283781944,0.275255469,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,0,0.0,0.283387779,0.283387779,0.27494649,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,1,0.0,0.285977246,0.285977246,0.276673847,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,2,0.0,0.288501988,0.288501988,0.277015147,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,3,0.0,0.290441355,0.290441355,0.276255496,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,4,0.0,0.285427148,0.285427148,0.276359465,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,5,0.0,0.283807671,0.283807671,0.275663124,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,6,0.0,0.28637189,0.28637189,0.27645252,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,7,0.0,0.286099182,0.286099182,0.276819313,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,8,0.0,0.287033468,0.287033468,0.277386328,,
,10000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,9,0.0,0.284201284,0.284201284,0.275351843,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-5,-0.0012690610019490123,6.921734297,6.921734297,0.235356182,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-4,-0.0012690610019490123,6.926033681,6.926033681,0.232882245,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-3,-0.0012690606527030468,6.885325867,6.885325867,0.221418794,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-2,-0.0012690600706264377,6.856637013,6.856637013,0.217479795,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-1,-0.0012690604198724031,6.966431428,6.966431428,0.220060682,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,0,-0.0012690600706264377,6.966938555,6.966938555,0.215961707,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,1,-0.001269060536287725,6.879129858,6.879129858,0.237447557,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,2,-0.0012690599542111158,6.916680686,6.916680686,0.213724719,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,3,-0.0012690608855336905,7.037415158,7.037415158,0.22211521,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,4,-0.0012690603034570813,6.92913451,6.92913451,0.223772591,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,5,-0.0012690607691183686,6.931542659,6.931542659,0.253873855,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,6,-0.0012690606527030468,6.992671567,6.992671567,0.240501682,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,7,-0.0012690604198724031,6.943811461,6.943811461,0.217832111,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,8,-0.001269060536287725,6.923659781,6.923659781,0.216660621,,
,12000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,9,-0.0012690608855336905,6.845185203,6.845185203,0.213861677,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-5,0.0,0.494481234,0.494481234,0.482143181,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-4,0.0,0.492036871,0.492036871,0.482052544,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-3,0.0,0.497725974,0.497725974,0.483422911,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-2,0.0,0.491608698,0.491608698,0.481118786,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-1,0.0,0.489201054,0.489201054,0.479737139,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,0,0.0,0.490656092,0.490656092,0.481254472,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,1,0.0,0.494976821,0.494976821,0.479428254,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,2,0.0,0.491586261,0.491586261,0.481347502,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,3,0.0,0.490023514,0.490023514,0.480480197,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,4,0.0,0.488922888,0.488922888,0.480014846,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,5,0.0,0.488342769,0.488342769,0.479579497,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,6,0.0,0.489886741,0.489886741,0.480236816,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,7,0.0,0.487536088,0.487536088,0.479377005,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,8,0.0,0.487614807,0.487614807,0.479675514,,
,13000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,9,0.0,0.48797615,0.48797615,0.480340614,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-5,-0.0004447727696970105,12.767344365,12.767344365,0.579793442,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-5,0.0,0.738674749,0.738674749,0.727876356,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-4,-0.00044477253686636686,12.565970126,12.565970126,0.524409553,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-4,0.0,0.739598762,0.739598762,0.727148018,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-3,-0.00044477262417785823,12.833975224,12.833975224,0.551010345,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-3,0.0,0.739509181,0.739509181,0.727980351,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-2,-0.00044477288611233234,13.178170423,13.178170423,0.526300941,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-2,0.0,0.736778451,0.736778451,0.725686224,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,-1,-0.0004447723913472146,12.634903137,12.634903137,0.54202454,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,32,32,16,"32,16",20,False,False,-1,0.0,0.738344495,0.738344495,0.726481492,,
,16000,1,SYNC,default,always_new,data_aware,data_locality,none,False,False,False,False,640,32,8,"32,8",20,False,False,0,-0.00044477268238551915,12.626912929,12.626912929,0.526630573,,
