num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.333089,0.119231,0.035455,0.083776
1,0.333089,0.250749,0.159219,0.09153
2,0.333089,0.247374,0.152441,0.094933
3,0.333089,0.248505,0.154567,0.093938
4,0.333089,0.249475,0.156016,0.093459
5,0.333089,0.250629,0.155757,0.094872
6,0.333089,0.249044,0.152198,0.096846
7,0.333089,0.251117,0.154391,0.096726
8,0.333089,0.247562,0.15424,0.093322
9,0.333089,0.248499,0.153815,0.094684
10,0.333089,0.24724,0.155641,0.091599
11,0.333089,0.250492,0.153277,0.097215
12,0.333089,0.251374,0.155114,0.09626
13,0.333089,0.248095,0.152049,0.096046
14,0.333089,0.249108,0.153927,0.095181
15,0.333089,0.249097,0.154612,0.094485
16,0.333089,0.250056,0.155518,0.094538
17,0.333089,0.249805,0.153069,0.096736
18,0.333089,0.25284,0.156124,0.096716
19,0.333089,0.248137,0.155167,0.09297
