num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.000133,9.70951,5.99272,3.71679
1,0.000133,8.03784,4.75926,3.27857
2,0.000133,8.03919,4.76145,3.27774
3,0.000133,8.04823,4.7606,3.28763
4,0.000133,8.04175,4.76022,3.28153
5,0.000133,8.04903,4.75916,3.28987
6,0.000133,8.0517,4.76933,3.28237
7,0.000133,8.04799,4.75823,3.28977
8,0.000133,8.04114,4.76133,3.27981
9,0.000133,8.04973,4.76045,3.28928
10,0.000133,8.04284,4.7616,3.28125
11,0.000133,8.05102,4.76027,3.29074
12,0.000133,8.0516,4.7682,3.2834
13,0.000133,8.04948,4.75951,3.28997
14,0.000133,8.04335,4.76002,3.28332
15,0.000133,8.05069,4.7621,3.28859
16,0.000133,8.04199,4.75944,3.28255
17,0.000133,8.05202,4.75999,3.29202
18,0.000133,8.05138,4.76713,3.28425
19,0.000133,8.05719,4.76497,3.29221
20,0.000133,8.04556,4.76284,3.28272
21,0.000133,8.05175,4.76454,3.28721
22,0.000133,8.04916,4.76657,3.28259
23,0.000133,8.05441,4.76336,3.29106
24,0.000133,8.05313,4.76776,3.28537
25,0.000133,8.05156,4.76236,3.2892
26,0.000133,8.04386,4.76208,3.28179
27,0.000133,8.04973,4.76028,3.28944
28,0.000133,8.0441,4.75911,3.28499
29,0.000133,8.05057,4.76232,3.28825
