num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-0.007833,0.570532,0.00013,0.570402
1,-0.007833,0.29204,5.3e-05,0.291987
2,-0.007833,0.293104,5.1e-05,0.293053
3,-0.007833,0.291058,9.7e-05,0.290961
4,-0.007833,0.293074,0.00034,0.292734
5,-0.007833,0.292339,4.6e-05,0.292293
6,-0.007833,0.290856,4.2e-05,0.290814
7,-0.007833,0.290637,4.3e-05,0.290594
8,-0.007833,0.291503,0.000353,0.29115
9,-0.007833,0.293557,4.4e-05,0.293513
10,-0.007833,0.292057,4.4e-05,0.292013
11,-0.007833,0.292185,4.5e-05,0.29214
12,-0.007833,0.291984,0.000342,0.291642
13,-0.007833,0.289957,4.3e-05,0.289914
14,-0.007833,0.292637,4.4e-05,0.292593
15,-0.007833,0.291936,4.1e-05,0.291895
16,-0.007833,0.292445,0.000342,0.292103
17,-0.007833,0.291602,4.5e-05,0.291557
18,-0.007833,0.289841,4.4e-05,0.289797
19,-0.007833,0.2933,4.1e-05,0.293259
20,-0.007833,0.293322,0.000356,0.292966
21,-0.007833,0.291555,4.1e-05,0.291514
22,-0.007833,0.291622,4.3e-05,0.291579
23,-0.007833,0.291117,4.4e-05,0.291073
24,-0.007833,0.292455,0.000343,0.292112
25,-0.007833,0.293338,4.4e-05,0.293294
26,-0.007833,0.292516,4.4e-05,0.292472
27,-0.007833,0.290315,4.3e-05,0.290272
28,-0.007833,0.291055,0.000342,0.290713
29,-0.007833,0.293848,4.4e-05,0.293804
