num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-0.007833,0.602248,0.000129,0.602119
1,-0.007833,0.563401,3.5e-05,0.563366
2,-0.007833,0.515689,8e-05,0.515609
3,-0.007833,0.483062,3.7e-05,0.483025
4,-0.007833,0.50947,3.6e-05,0.509434
5,-0.007833,0.508175,3.6e-05,0.508139
6,-0.007833,0.494689,3.7e-05,0.494652
7,-0.007833,0.514231,3.6e-05,0.514195
8,-0.007833,0.528367,3.4e-05,0.528333
9,-0.007833,0.485207,3.5e-05,0.485172
10,-0.007833,0.466425,3.5e-05,0.46639
11,-0.007833,0.525848,3.7e-05,0.525811
12,-0.007833,0.515591,3.6e-05,0.515555
13,-0.007833,0.486797,3.5e-05,0.486762
14,-0.007833,0.498351,3.6e-05,0.498315
15,-0.007833,0.450636,3.6e-05,0.4506
16,-0.007833,0.505108,3.7e-05,0.505071
17,-0.007833,0.494328,3.7e-05,0.494291
18,-0.007833,0.512561,3.7e-05,0.512524
19,-0.007833,0.489566,3.5e-05,0.489531
20,-0.007833,0.502922,3.7e-05,0.502885
21,-0.007833,0.50716,3.7e-05,0.507123
22,-0.007833,0.538745,3.6e-05,0.538709
23,-0.007833,0.482837,3.6e-05,0.482801
24,-0.007833,0.501607,3.6e-05,0.501571
25,-0.007833,0.488811,3.6e-05,0.488775
26,-0.007833,0.477598,3.7e-05,0.477561
27,-0.007833,0.504993,3.6e-05,0.504957
28,-0.007833,0.508616,3.5e-05,0.508581
29,-0.007833,0.485797,3.7e-05,0.48576
