num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,5,0.851488,0.014118,0.83737
1,5,0.326502,0.04614,0.280362
2,5,0.329379,0.045636,0.283743
3,5,0.32706,0.046063,0.280997
4,5,0.328671,0.046163,0.282508
5,5,0.327783,0.046132,0.281651
6,5,0.327202,0.045791,0.281411
7,5,0.327517,0.046106,0.281411
8,5,0.327478,0.046236,0.281242
9,5,0.329682,0.046289,0.283393
10,5,0.325202,0.045851,0.279351
11,5,0.329103,0.045948,0.283155
12,5,0.329861,0.045933,0.283928
13,5,0.329907,0.04624,0.283667
14,5,0.326475,0.046052,0.280423
15,5,0.326328,0.045796,0.280532
16,5,0.330652,0.046036,0.284616
17,5,0.330367,0.045872,0.284495
18,5,0.332025,0.046116,0.285909
19,5,0.327003,0.045929,0.281074
20,5,0.333949,0.045799,0.28815
21,5,0.333166,0.045995,0.287171
22,5,0.330006,0.045978,0.284028
23,5,0.325566,0.045998,0.279568
24,5,0.326471,0.045777,0.280694
25,5,0.329444,0.045962,0.283482
26,5,0.327946,0.045737,0.282209
27,5,0.329619,0.04627,0.283349
28,5,0.327579,0.046113,0.281466
29,5,0.329507,0.045781,0.283726
