num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,5,0.729573,0.009354,0.720219
1,5,0.412444,0.031158,0.381286
2,5,0.41345,0.030946,0.382504
3,5,0.403206,0.030829,0.372377
4,5,0.408553,0.030999,0.377554
5,5,0.414755,0.030686,0.384069
6,5,0.408996,0.031086,0.37791
7,5,0.41178,0.030975,0.380805
8,5,0.406526,0.030797,0.375729
9,5,0.413738,0.031,0.382738
10,5,0.413057,0.030769,0.382288
11,5,0.413098,0.031145,0.381953
12,5,0.410245,0.030889,0.379356
13,5,0.40921,0.031419,0.377791
14,5,0.410809,0.030867,0.379942
15,5,0.407728,0.031432,0.376296
16,5,0.408211,0.030799,0.377412
17,5,0.413418,0.031131,0.382287
18,5,0.409333,0.030811,0.378522
19,5,0.411761,0.030982,0.380779
20,5,0.413509,0.03104,0.382469
21,5,0.408907,0.030912,0.377995
22,5,0.407711,0.031369,0.376342
23,5,0.416517,0.030906,0.385611
24,5,0.406795,0.031379,0.375416
25,5,0.409202,0.031311,0.377891
26,5,0.410384,0.030914,0.37947
27,5,0.40935,0.031011,0.378339
28,5,0.409494,0.031009,0.378485
29,5,0.41056,0.031008,0.379552
