num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,9.616546,2.02547,0.546134,1.47933
1,9.616546,2.08866,1.27155,0.817111
2,9.616546,2.0585,1.24938,0.809129
3,9.616546,2.08778,1.27122,0.816556
4,9.616546,2.05723,1.24882,0.808406
5,9.616546,2.08691,1.27016,0.816742
6,9.616546,2.05923,1.24836,0.810867
7,9.616546,2.08831,1.27037,0.817945
8,9.616546,2.05928,1.24884,0.810441
9,9.616546,2.08829,1.27372,0.814568
10,9.616546,2.05615,1.2476,0.808557
11,9.616546,2.06456,1.24925,0.815312
12,9.616546,2.07453,1.26616,0.808374
13,9.616546,2.06845,1.25351,0.814934
14,9.616546,2.0575,1.24763,0.809873
15,9.616546,2.08936,1.27314,0.816211
16,9.616546,2.06064,1.24968,0.810964
17,9.616546,2.08984,1.27307,0.816771
18,9.616546,2.05853,1.24883,0.809701
19,9.616546,2.09056,1.27355,0.817009
20,9.616546,2.05622,1.24875,0.807475
21,9.616546,2.06407,1.24777,0.816301
22,9.616546,2.05626,1.24729,0.808972
23,9.616546,2.08516,1.26942,0.81574
24,9.616546,2.08296,1.27321,0.809753
25,9.616546,2.06295,1.24668,0.816268
26,9.616546,2.05535,1.24586,0.809485
27,9.616546,2.08546,1.26992,0.815536
28,9.616546,2.05785,1.24954,0.808312
29,9.616546,2.06458,1.24879,0.815783
