num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,9.616546,1.10521,0.68235,0.422863
1,9.616546,1.8329,1.56908,0.263814
2,9.616546,1.86326,1.59922,0.264032
3,9.616546,1.84154,1.57687,0.264674
4,9.616546,1.86392,1.60105,0.262874
5,9.616546,1.83768,1.57484,0.262839
6,9.616546,1.83916,1.57714,0.262021
7,9.616546,1.83939,1.57425,0.265144
8,9.616546,1.86352,1.59834,0.265189
9,9.616546,1.83988,1.57358,0.2663
10,9.616546,1.84394,1.57888,0.265062
11,9.616546,1.84054,1.57458,0.265964
12,9.616546,1.83612,1.5748,0.261319
13,9.616546,1.841,1.57522,0.265782
14,9.616546,1.86539,1.60006,0.265328
15,9.616546,1.83835,1.57494,0.263412
16,9.616546,1.83968,1.57777,0.261907
17,9.616546,1.83867,1.57383,0.26484
18,9.616546,1.86622,1.60137,0.26485
19,9.616546,1.84232,1.57571,0.26661
20,9.616546,1.84094,1.57517,0.265771
21,9.616546,1.8426,1.57688,0.265715
22,9.616546,1.8379,1.57489,0.263013
23,9.616546,1.84157,1.57631,0.265255
24,9.616546,1.86446,1.60037,0.264097
25,9.616546,1.84132,1.57356,0.267761
26,9.616546,1.83951,1.57421,0.265296
27,9.616546,1.84378,1.5773,0.266477
28,9.616546,1.83575,1.57296,0.26279
29,9.616546,1.83883,1.57381,0.265024
