num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,5,1.13048,0.009321,1.12116
1,5,0.582372,0.031302,0.55107
2,5,0.586905,0.031416,0.555489
3,5,0.581263,0.03126,0.550003
4,5,0.581173,0.031573,0.5496
5,5,0.586345,0.031737,0.554608
6,5,0.582339,0.031391,0.550948
7,5,0.589942,0.031372,0.55857
8,5,0.586926,0.031413,0.555513
9,5,0.57886,0.031321,0.547539
10,5,0.579903,0.031495,0.548408
11,5,0.589584,0.031644,0.55794
12,5,0.590153,0.031412,0.558741
13,5,0.588045,0.031447,0.556598
14,5,0.580204,0.031338,0.548866
15,5,0.588537,0.031484,0.557053
16,5,0.589592,0.031331,0.558261
17,5,0.581446,0.031641,0.549805
18,5,0.595621,0.031301,0.56432
19,5,0.584456,0.031335,0.553121
20,5,0.58853,0.031016,0.557514
21,5,0.57984,0.031297,0.548543
22,5,0.574266,0.031056,0.54321
23,5,0.592646,0.031116,0.56153
24,5,0.582983,0.031084,0.551899
25,5,0.584723,0.031586,0.553137
26,5,0.588724,0.031311,0.557413
27,5,0.583061,0.031336,0.551725
28,5,0.587158,0.031624,0.555534
29,5,0.584176,0.031505,0.552671
