num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-4.934800,0.937795,0.747146,0.190649
1,-4.934800,1.1522,1.03109,0.121118
2,-4.934800,1.15227,1.03129,0.120971
3,-4.934800,1.15858,1.03385,0.124732
4,-4.934800,1.15265,1.03142,0.121223
5,-4.934800,1.15909,1.03339,0.125696
6,-4.934800,1.15314,1.03354,0.119602
7,-4.934800,1.15855,1.03394,0.124606
8,-4.934800,1.15483,1.03361,0.121218
9,-4.934800,1.15836,1.03484,0.123515
10,-4.934800,1.15328,1.03272,0.120564
11,-4.934800,1.15954,1.03447,0.125063
12,-4.934799,1.15137,1.03175,0.119616
13,-4.934799,1.15846,1.03462,0.123835
14,-4.934799,1.15455,1.03277,0.12178
15,-4.934800,1.15329,1.03213,0.121162
16,-4.934800,1.15297,1.03157,0.121397
17,-4.934799,1.15435,1.03335,0.121001
18,-4.934799,1.15231,1.03136,0.120943
19,-4.934799,1.15656,1.03374,0.122821
20,-4.934800,1.15284,1.03175,0.121092
21,-4.934799,1.15428,1.03203,0.122253
22,-4.934800,1.15036,1.03009,0.120276
23,-4.934799,1.15977,1.03402,0.125746
24,-4.934800,1.15221,1.03091,0.121297
25,-4.934800,1.15147,1.03022,0.121251
26,-4.934799,1.1518,1.03073,0.121072
27,-4.934800,1.1609,1.03686,0.124035
28,-4.934800,1.15171,1.03107,0.120647
29,-4.934800,1.15233,1.03088,0.121447
