num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,5,4.1843,0.010993,4.17331
1,5,3.07511,0.035978,3.03913
2,5,3.0753,0.036507,3.03879
3,5,3.07486,0.035931,3.03892
4,5,3.0745,0.035928,3.03857
5,5,3.07469,0.036036,3.03866
6,5,3.07456,0.036045,3.03852
7,5,3.07441,0.035939,3.03847
8,5,3.07552,0.036387,3.03913
9,5,3.07528,0.036498,3.03878
10,5,3.0751,0.036185,3.03892
11,5,3.07467,0.036185,3.03849
12,5,3.07603,0.037221,3.03881
13,5,3.07454,0.036241,3.0383
14,5,3.07478,0.035885,3.03889
15,5,3.07523,0.036115,3.03911
16,5,3.07449,0.035923,3.03857
17,5,3.07529,0.036267,3.03903
18,5,3.07525,0.03634,3.03891
19,5,3.07476,0.036177,3.03858
20,5,3.07473,0.03575,3.03898
21,5,3.07458,0.036147,3.03844
22,5,3.07498,0.036151,3.03883
23,5,3.07399,0.035595,3.0384
24,5,3.07473,0.035792,3.03894
25,5,3.07455,0.036025,3.03853
26,5,3.07463,0.036065,3.03857
27,5,3.07471,0.035854,3.03885
28,5,3.07427,0.03577,3.0385
29,5,3.07505,0.035834,3.03922
