num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-4.934800,3.25249,2.87665,0.375843
1,-4.934801,4.33346,4.05899,0.274472
2,-4.934800,4.34194,4.07031,0.271632
3,-4.934800,4.27944,4.0038,0.275647
4,-4.934800,4.28013,4.01248,0.267655
5,-4.934800,4.28062,4.00622,0.274397
6,-4.934801,4.27717,4.00376,0.273412
7,-4.934800,4.28979,4.01713,0.272663
8,-4.934801,4.28773,4.01251,0.275215
9,-4.934799,4.28373,4.00814,0.275585
10,-4.934800,4.2822,4.00967,0.272528
11,-4.934801,4.27866,4.00185,0.276812
12,-4.934799,4.28889,4.0163,0.272585
13,-4.934800,4.29831,4.0261,0.27221
14,-4.934799,4.28342,4.01119,0.27223
15,-4.934800,4.2871,4.01351,0.273587
16,-4.934801,4.27985,4.00758,0.272268
17,-4.934800,4.28756,4.01026,0.277302
18,-4.934801,4.28584,4.01196,0.27388
19,-4.934800,4.35694,4.07588,0.281063
20,-4.934800,4.33953,4.06729,0.272239
21,-4.934801,4.34384,4.06587,0.277977
22,-4.934800,4.36349,4.08882,0.274665
23,-4.934801,4.35149,4.07048,0.281014
24,-4.934800,4.33726,4.06985,0.267413
25,-4.934799,4.35235,4.07513,0.277221
26,-4.934800,4.35064,4.07613,0.274516
27,-4.934799,4.35977,4.07801,0.281761
28,-4.934800,4.34583,4.07258,0.273254
29,-4.934800,4.35881,4.08528,0.273536
