num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,5,0.692851,0.010992,0.681859
1,5,0.26622,0.035637,0.230583
2,5,0.263095,0.035848,0.227247
3,5,0.257471,0.035783,0.221688
4,5,0.266875,0.035938,0.230937
5,5,0.266278,0.035928,0.23035
6,5,0.261351,0.035934,0.225417
7,5,0.260562,0.03559,0.224972
8,5,0.264144,0.03614,0.228004
9,5,0.261956,0.035915,0.226041
10,5,0.265435,0.035977,0.229458
11,5,0.26146,0.035947,0.225513
12,5,0.26487,0.03585,0.22902
13,5,0.261899,0.035859,0.22604
14,5,0.2633,0.036069,0.227231
15,5,0.258012,0.035641,0.222371
16,5,0.263176,0.035805,0.227371
17,5,0.263486,0.035702,0.227784
18,5,0.262598,0.035727,0.226871
19,5,0.256446,0.035905,0.220541
20,5,0.26056,0.035649,0.224911
21,5,0.263923,0.035701,0.228222
22,5,0.262116,0.035915,0.226201
23,5,0.262384,0.035685,0.226699
24,5,0.261543,0.035782,0.225761
25,5,0.265891,0.035838,0.230053
26,5,0.260415,0.035774,0.224641
27,5,0.262452,0.035906,0.226546
28,5,0.265739,0.035649,0.23009
29,5,0.264568,0.036025,0.228543
