num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.333333,0.47527,0.314578,0.160692
1,0.333333,0.482361,0.351345,0.131016
2,0.333333,0.483398,0.353481,0.129917
3,0.333333,0.483879,0.3517,0.132179
4,0.333333,0.483996,0.352648,0.131348
5,0.333333,0.485173,0.352729,0.132444
6,0.333333,0.483217,0.351568,0.131649
7,0.333333,0.483085,0.351948,0.131137
8,0.333333,0.482679,0.35227,0.130409
9,0.333333,0.483836,0.352602,0.131234
10,0.333333,0.482319,0.353135,0.129184
11,0.333333,0.483699,0.352517,0.131182
12,0.333333,0.48225,0.351439,0.130811
13,0.333333,0.484276,0.351957,0.132319
14,0.333333,0.481326,0.351927,0.129399
15,0.333333,0.484618,0.353012,0.131606
16,0.333333,0.482973,0.352292,0.130681
17,0.333333,0.484336,0.352827,0.131509
18,0.333333,0.480509,0.351773,0.128736
19,0.333333,0.482442,0.351966,0.130476
20,0.333333,0.482441,0.352208,0.130233
21,0.333333,0.483582,0.352581,0.131001
22,0.333333,0.481873,0.352149,0.129724
23,0.333333,0.486199,0.353345,0.132854
24,0.333333,0.482178,0.352348,0.12983
25,0.333333,0.481779,0.351531,0.130248
26,0.333333,0.483659,0.353113,0.130546
27,0.333333,0.48313,0.352563,0.130567
28,0.333333,0.480723,0.351749,0.128974
29,0.333333,0.483852,0.352635,0.131217
