num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-4.934800,3.46162,2.38291,1.07871
1,-4.934800,3.96531,3.31009,0.655225
2,-4.934800,3.9619,3.30923,0.652669
3,-4.934800,3.96506,3.3087,0.656353
4,-4.934799,3.95552,3.30746,0.648053
5,-4.934799,4.21469,3.50439,0.710296
6,-4.934800,3.95707,3.30825,0.648813
7,-4.934799,3.95535,3.30224,0.65311
8,-4.934800,3.95753,3.31112,0.646411
9,-4.934800,3.9724,3.31361,0.658789
10,-4.934800,3.95603,3.31047,0.645561
11,-4.934799,3.96914,3.31022,0.658917
12,-4.934800,4.07379,3.43061,0.64318
13,-4.934800,4.09849,3.44114,0.657356
14,-4.934800,3.97029,3.32392,0.64637
15,-4.934800,3.96283,3.30767,0.655162
16,-4.934800,3.94828,3.30278,0.645499
17,-4.934800,3.96199,3.309,0.652991
18,-4.934800,3.94869,3.30879,0.639897
19,-4.934800,3.95989,3.30503,0.654861
20,-4.934800,3.97674,3.3336,0.643135
21,-4.934799,3.95704,3.31152,0.645528
22,-4.934800,3.95033,3.30928,0.641055
23,-4.934799,3.96759,3.3077,0.659894
24,-4.934800,3.95335,3.31163,0.64172
25,-4.934800,3.96528,3.31377,0.651504
26,-4.934800,3.95759,3.31042,0.647172
27,-4.934800,3.96737,3.31093,0.656438
28,-4.934800,3.9535,3.31036,0.643139
29,-4.934800,3.96364,3.31092,0.652721
