num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.000160,6.58817,4.16565,2.42252
1,0.000160,5.47307,3.32083,2.15224
2,0.000160,5.45954,3.32018,2.13936
3,0.000160,5.461,3.32105,2.13995
4,0.000160,5.46891,3.32337,2.14554
5,0.000160,5.45541,3.3212,2.13421
6,0.000160,5.44335,3.32044,2.1229
7,0.000160,5.46848,3.31942,2.14906
8,0.000160,5.47303,3.32019,2.15284
9,0.000160,5.45923,3.32142,2.13781
10,0.000160,5.52178,3.32088,2.20089
11,0.000160,5.42083,3.29821,2.12262
12,0.000160,5.43048,3.2994,2.13108
13,0.000160,5.44923,3.30227,2.14696
14,0.000160,5.43863,3.29901,2.13962
15,0.000160,5.41862,3.29873,2.11989
16,0.000160,5.43758,3.29789,2.1397
17,0.000160,5.44666,3.30027,2.14639
18,0.000160,5.44007,3.29861,2.14146
19,0.000160,5.41688,3.2982,2.11868
20,0.000160,5.44861,3.29921,2.14941
21,0.000160,5.42778,3.29867,2.12911
22,0.000160,5.4585,3.30143,2.15707
23,0.000160,5.42286,3.29876,2.1241
24,0.000160,5.45051,3.29819,2.15232
25,0.000160,5.47296,3.29898,2.17398
26,0.000160,5.42788,3.29878,2.1291
27,0.000160,5.42822,3.29897,2.12925
28,0.000160,5.43346,3.29759,2.13587
29,0.000160,5.44806,3.29849,2.14957
