benchmark,total_iterations,size,gpus,exec_policy,parent_stream_policy,device_selection_policy,tot_overhead_sec,mean_overhead_sec
MUL,5,60000,1,ASYNC,multigpu-disjoint,round-robin,0.0,0.0
CG,5,50000,8,ASYNC,multigpu-disjoint,round-robin,1.0092546e-08,2.0185092e-09
CG,5,50000,8,ASYNC,multigpu-disjoint,stream-aware,6.684674e-09,1.3369348000000001e-09
CG,5,50000,8,ASYNC,multigpu-disjoint,min-transfer-size,1.717043e-08,3.4340859999999996e-09
CG,5,50000,8,ASYNC,multigpu-disjoint,minmax-transfer-time,2.437934e-08,4.875867999999999e-09
CG,5,50000,4,ASYNC,multigpu-disjoint,round-robin,9.175042e-09,1.8350084e-09
CG,5,50000,4,ASYNC,multigpu-disjoint,stream-aware,6.291457e-09,1.2582914e-09
CG,5,50000,4,ASYNC,multigpu-disjoint,min-transfer-size,1.7825796e-08,3.5651592000000003e-09
CG,5,50000,4,ASYNC,multigpu-disjoint,minmax-transfer-time,1.8874372e-08,3.7748744e-09
CG,5,50000,2,ASYNC,multigpu-disjoint,round-robin,7.3400335e-09,1.4680067e-09
CG,5,50000,2,ASYNC,multigpu-disjoint,stream-aware,1.1010051e-08,2.2020102e-09
CG,5,50000,2,ASYNC,multigpu-disjoint,min-transfer-size,1.4942212e-08,2.9884424e-09
CG,5,50000,2,ASYNC,multigpu-disjoint,minmax-transfer-time,1.8350084e-08,3.6700168e-09
CG,5,50000,1,ASYNC,multigpu-disjoint,round-robin,8.126466e-09,1.6252932e-09
