num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-4.934800,6.99749,3.3946,3.60289
1,-4.934800,7.85171,5.45308,2.39863
2,-4.934800,7.85443,5.45423,2.4002
3,-4.934800,7.86031,5.45969,2.40062
4,-4.934800,7.85,5.4551,2.39489
5,-4.934800,7.87988,5.45399,2.42589
6,-4.934800,7.85626,5.45337,2.40289
7,-4.934800,7.87832,5.45645,2.42187
8,-4.934800,7.88058,5.4626,2.41798
9,-4.934800,7.88059,5.46091,2.41969
10,-4.934800,7.85682,5.45656,2.40026
11,-4.934800,7.86433,5.46229,2.40205
12,-4.934800,7.85325,5.45761,2.39564
13,-4.934801,7.85947,5.45825,2.40122
14,-4.934800,7.86122,5.46221,2.399
15,-4.934800,7.86316,5.45659,2.40657
16,-4.934800,7.8513,5.45673,2.39457
17,-4.934800,7.86672,5.45928,2.40744
18,-4.934800,7.86605,5.45801,2.40804
19,-4.934800,7.85777,5.45849,2.39928
20,-4.934800,7.86507,5.45677,2.4083
21,-4.934800,7.85519,5.45599,2.3992
22,-4.934800,7.87138,5.45731,2.41407
23,-4.934800,7.87427,5.46282,2.41144
24,-4.934800,7.85486,5.46074,2.39412
25,-4.934800,7.85572,5.45575,2.39997
26,-4.934800,7.85299,5.45671,2.39628
27,-4.934800,7.85929,5.45735,2.40194
28,-4.934800,7.86667,5.45833,2.40834
29,-4.934800,7.86828,5.46842,2.39986
