num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,nan,2.99683,8.8e-05,2.99675
1,nan,1.23159,9.5e-05,1.2315
2,nan,1.216,8.7e-05,1.21591
3,nan,1.22677,8.8e-05,1.22669
4,nan,1.22577,0.000677,1.22509
5,nan,1.22407,8.3e-05,1.22399
6,nan,1.2261,7.6e-05,1.22602
7,nan,1.21752,7.6e-05,1.21745
8,nan,1.23037,0.000684,1.22969
9,nan,1.21289,7.6e-05,1.21281
10,nan,1.21484,7.5e-05,1.21476
11,nan,1.21568,7.4e-05,1.21561
12,nan,1.2181,0.000678,1.21742
13,nan,1.21877,7.5e-05,1.21869
14,nan,1.21701,8e-05,1.21693
15,nan,1.21609,7.6e-05,1.21601
16,nan,1.21879,0.000694,1.21809
17,nan,1.23547,7.8e-05,1.2354
18,nan,1.21783,7.8e-05,1.21776
19,nan,1.21655,7.9e-05,1.21647
20,nan,1.23162,0.000712,1.23091
21,nan,1.23694,7.7e-05,1.23687
22,nan,1.22244,7.8e-05,1.22236
23,nan,1.21512,7.8e-05,1.21504
24,nan,1.23012,0.000688,1.22943
25,nan,1.21492,7.6e-05,1.21484
26,nan,1.22124,7.6e-05,1.22116
27,nan,1.21532,0.000141,1.21518
28,-310.015167,1.21922,0.000685,1.21854
29,nan,1.21602,8.6e-05,1.21593
