num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,nan,2.06503,3.9e-05,2.06499
1,nan,1.24437,4.5e-05,1.24433
2,109763.968750,1.24505,4.5e-05,1.245
3,nan,1.2433,4.3e-05,1.24325
4,nan,1.24566,0.000574,1.24509
5,nan,1.24473,4.6e-05,1.24468
6,nan,1.24453,4.5e-05,1.24449
7,nan,1.24354,4.7e-05,1.24349
8,nan,1.24556,0.000502,1.24506
9,nan,1.24422,4.6e-05,1.24418
10,nan,1.24461,4.6e-05,1.24456
11,nan,1.24384,4.7e-05,1.2438
12,nan,1.24565,0.000505,1.24514
13,nan,1.24446,4.6e-05,1.24442
14,nan,1.24448,4.5e-05,1.24443
15,nan,1.24341,4.6e-05,1.24336
16,130711672.000000,1.24572,0.000509,1.24522
17,nan,1.24494,4.7e-05,1.2449
18,nan,1.24431,4.6e-05,1.24426
19,nan,1.24394,4.6e-05,1.24389
20,nan,1.2459,0.000513,1.24539
21,nan,1.24485,5.6e-05,1.2448
22,nan,1.24438,4.8e-05,1.24433
23,nan,1.24393,4.8e-05,1.24389
24,nan,1.24566,0.000507,1.24515
25,nan,1.24441,4.6e-05,1.24436
26,133433456.000000,1.24425,4.6e-05,1.2442
27,nan,1.24387,4.5e-05,1.24382
28,nan,1.24577,0.000504,1.24527
29,nan,1.24455,5.5e-05,1.2445
