num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.333333,4.90283,2.9404,1.96243
1,0.333333,4.11596,2.36822,1.74774
2,0.333333,4.12582,2.37493,1.75088
3,0.333333,4.12977,2.37259,1.75718
4,0.333333,4.11771,2.38089,1.73683
5,0.333333,4.12958,2.3806,1.74898
6,0.333333,4.12421,2.37118,1.75302
7,0.333333,4.13237,2.37726,1.75511
8,0.333333,4.1273,2.37361,1.75369
9,0.333333,4.12557,2.37738,1.74819
10,0.333333,4.1087,2.36932,1.73938
11,0.333333,4.1286,2.37159,1.75701
12,0.333333,4.1195,2.37807,1.74143
13,0.333333,4.12487,2.37784,1.74703
14,0.333333,4.12049,2.37838,1.74211
15,0.333333,4.12965,2.3802,1.74946
16,0.333333,4.13434,2.37888,1.75546
17,0.333333,4.13348,2.37725,1.75622
18,0.333333,4.13435,2.38103,1.75333
19,0.333333,4.13961,2.38026,1.75935
20,0.333333,4.111,2.3703,1.74071
21,0.333333,4.11662,2.37662,1.74
22,0.333333,4.13253,2.37757,1.75496
23,0.333333,4.12969,2.37604,1.75365
24,0.333333,4.12064,2.37887,1.74177
25,0.333333,4.12913,2.36929,1.75984
26,0.333333,4.11379,2.3715,1.74229
27,0.333333,4.12428,2.37251,1.75177
28,0.333333,4.11944,2.37757,1.74187
29,0.333333,4.1232,2.37833,1.74487
