num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.000000,9.49129,6.61198,2.87931
1,0.000000,7.95772,5.31656,2.64116
2,0.000000,7.95326,5.32541,2.62785
3,0.000000,7.98964,5.31948,2.67015
4,0.000000,7.95662,5.32794,2.62868
5,0.000000,7.9693,5.32627,2.64303
6,0.000000,7.949,5.3234,2.62561
7,0.000000,7.95359,5.32933,2.62425
8,0.000000,7.96789,5.31879,2.64911
9,0.000000,7.95967,5.31774,2.64193
10,0.000000,7.97467,5.33864,2.63603
11,0.000000,7.95744,5.32189,2.63555
12,0.000000,7.95592,5.33534,2.62058
13,0.000000,8.00773,5.33747,2.67026
14,0.000000,7.956,5.31987,2.63613
15,0.000000,7.96422,5.31952,2.6447
16,0.000000,7.94094,5.3209,2.62003
17,0.000000,7.96938,5.32603,2.64334
18,0.000000,7.9985,5.32403,2.67447
19,0.000000,8.05552,5.33141,2.72411
20,0.000000,8.01099,5.32243,2.68855
21,0.000000,7.96171,5.31717,2.64454
22,0.000000,7.94959,5.32171,2.62788
23,0.000000,7.95406,5.31746,2.6366
24,0.000000,7.94895,5.32399,2.62496
25,0.000000,7.96548,5.32205,2.64344
26,0.000000,7.94774,5.32022,2.62753
27,0.000000,7.95921,5.32303,2.63618
28,0.000000,7.96213,5.31719,2.64494
29,0.000000,7.94718,5.31643,2.63075
