num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,9.616546,1.81228,0.920265,0.89201
1,9.616546,2.45575,1.86128,0.594466
2,9.616546,2.44551,1.86015,0.585365
3,9.616546,2.46143,1.87723,0.584201
4,9.616546,2.45742,1.87649,0.580933
5,9.616546,2.45416,1.86039,0.593774
6,9.616546,2.46251,1.87969,0.582822
7,9.616546,2.46576,1.88027,0.585494
8,9.616546,2.44546,1.86305,0.582412
9,9.616546,2.45586,1.8643,0.591555
10,9.616546,2.4649,1.87839,0.586513
11,9.616546,2.4514,1.8648,0.586596
12,9.616546,2.49303,1.86636,0.626675
13,9.616546,2.44947,1.86279,0.586676
14,9.616546,2.45934,1.86435,0.594987
15,9.616546,2.44336,1.86243,0.58093
16,9.616546,2.44498,1.86523,0.57975
17,9.616546,2.45747,1.88017,0.577295
18,9.616546,2.45876,1.87193,0.586826
19,9.616546,2.44908,1.86366,0.585419
20,9.616546,2.44397,1.86352,0.580459
21,9.616546,2.46758,1.87138,0.596201
22,9.616546,2.4495,1.8669,0.582604
23,9.616546,2.47795,1.88429,0.593653
24,9.616546,2.4472,1.86249,0.584703
25,9.616546,2.45196,1.8622,0.589767
26,9.616546,2.45431,1.86208,0.592235
27,9.616546,2.4704,1.87385,0.596542
28,9.616546,2.46859,1.87806,0.590523
29,9.616546,2.46927,1.87786,0.591412
