num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,5,1.51943,0.03325,1.48618
1,5,0.6409,0.086029,0.554871
2,5,0.647478,0.086059,0.561419
3,5,0.646735,0.085045,0.56169
4,5,0.647445,0.085549,0.561896
5,5,0.641139,0.0856,0.555539
6,5,0.644847,0.085592,0.559255
7,5,0.647379,0.084965,0.562414
8,5,0.633755,0.086071,0.547684
9,5,0.645509,0.085704,0.559805
10,5,0.649252,0.086596,0.562656
11,5,0.646038,0.086566,0.559472
12,5,0.644158,0.086299,0.557859
13,5,0.632972,0.086243,0.546729
14,5,0.648159,0.086064,0.562095
15,5,0.646465,0.08639,0.560075
16,5,0.648845,0.086099,0.562746
17,5,0.647323,0.086078,0.561245
18,5,0.64751,0.08646,0.56105
19,5,0.62941,0.085835,0.543575
20,5,0.631488,0.085586,0.545902
21,5,0.650119,0.08589,0.564229
22,5,0.646112,0.085556,0.560556
23,5,0.631925,0.085781,0.546144
24,5,0.628005,0.085684,0.542321
25,5,0.644916,0.085491,0.559425
26,5,0.641233,0.085403,0.55583
27,5,0.641803,0.085713,0.55609
28,5,0.62795,0.085904,0.542046
29,5,0.627637,0.085614,0.542023
