num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.333089,0.123435,0.032519,0.090916
1,0.333089,0.264474,0.16032,0.104154
2,0.333089,0.229735,0.157683,0.072052
3,0.333089,0.196876,0.129105,0.067771
4,0.333089,0.208884,0.146397,0.062487
5,0.333089,0.248902,0.145133,0.103769
6,0.333089,0.271435,0.159943,0.111492
7,0.333089,0.276526,0.162469,0.114057
8,0.333089,0.217869,0.159465,0.058404
9,0.333089,0.314112,0.077958,0.236154
10,0.333089,0.212768,0.135256,0.077512
11,0.333089,0.261526,0.158714,0.102812
12,0.333089,0.276179,0.167596,0.108583
13,0.333089,0.214689,0.156442,0.058247
14,0.333089,0.228667,0.070664,0.158003
15,0.333089,0.247422,0.148008,0.099414
16,0.333089,0.228871,0.169284,0.059587
17,0.333089,0.27378,0.084173,0.189607
18,0.333089,0.214554,0.138692,0.075862
19,0.333089,0.22605,0.156107,0.069943
