num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.333211,0.938012,0.126854,0.811158
1,0.333211,0.928956,0.113814,0.815142
2,0.333211,0.926018,0.113752,0.812266
3,0.333211,0.927995,0.113693,0.814302
4,0.333211,0.924534,0.113725,0.810809
5,0.333211,0.925566,0.113984,0.811582
6,0.333211,0.926863,0.113977,0.812886
7,0.333211,0.927263,0.114053,0.81321
8,0.333211,0.925337,0.114009,0.811328
9,0.333211,0.920807,0.11395,0.806857
10,0.333211,0.927949,0.113986,0.813963
11,0.333211,0.925597,0.114029,0.811568
12,0.333211,0.925182,0.113997,0.811185
13,0.333211,0.926577,0.113971,0.812606
14,0.333211,0.921427,0.113943,0.807484
15,0.333211,0.922155,0.113911,0.808244
16,0.333211,0.927051,0.1139,0.813151
17,0.333211,0.921137,0.114062,0.807075
18,0.333211,0.928548,0.11387,0.814678
19,0.333211,0.928482,0.113916,0.814566
